Level 1. IO 與 運算,,,
,#,Problem Title,Subs
,3122,霍金密碼,2657
,1067,數字、字母、母音和子音的數量,141
,3295,該如何Debug,160
Level 5. 指標 (Pointer),,,
,#,Problem Title,Subs
,1050,指標存取陣列找最大值,2425
,1052,學生成績 一維動態 (HW),5671
,1053,指標陣列-半動態二維陣列,1399
,1051,印出各班總分、平均-動態二維陣列 (HW),5891
,1202,一筆交易,2283
,1023,高山與盆地,2682
,1092,動態記憶體排序-整數版,3214
,1131,PUBG~能不能吃雞,1227
,1136,密碼學~混淆視聽,962
,1141,Flash城市隱藏能力者,960
,1094,動態記憶體排序-字串版,1366
,3294,網管的一天(二維動態陣列),356
Level 6. 函式 (Function),,,
,#,Problem Title,Subs
,1061,1加到n的函式,6012
,1064,n! 函式,3874
,3073,函式回傳多個數值,7047
,1063,分數平均、與最高分 (C多檔案組合),3007
,1062,質數判斷程式 (C多檔案組合),3719
,1500,助教，爲什麽RE？ (函式-C多檔案組合),2843
,3071,排列,3997
,3072,組合,4348
,3077,排列、組合 II,1692
,1165,snake order sort (const) (C函式),94
,1167,製造商品的材料-遞迴限定(禁用關鍵字),34
,3040,天干地支-函數版,2302
,1404,模組引入-計算,677
,1505,助教，爲什麽WA？(C多檔案組合),713
,1515,助教，爲什麽TLE？ (C多檔案組合 與讀檔),764
,1414,模組引入-計算球體積,501
,3055,英文字母的密碼,1044
,3097,轉置矩陣的運算-函數版,935
,1060,max函式找陣列中的最大值 I,13
,1132,PUBG~哪裏才安全 (函式-C多檔案組合),1137
,1137,密碼學~基礎計算 (C函式),229
,1065,正負數的個數計算函式 (陣列傳進函式),11
,1066,max函式找陣列中的最大值 II (指標陣列傳進函式),12
,1423,模組引入-計算球表面積,1170
,1069,1到n之間平方和(遞迴函數),63
,1142,Flash的比賽,848
,3057,2x2反矩陣運算-函數版,1626
,1086,矩陣之中的移動路徑I (遞迴函數),26
,3118,摩斯密碼(函式),1628
,1087,矩陣之中的移動路徑II (遞迴函數),21
,3139,會計師的成長之路IV-系統危機(function)(C++多檔組合),263
,1088,雙迴文 Double Palindrome,13
,1119,金屬的價值 Metal value,21
,1123,巫婆的秘密乳液,49
,3272,輪盤轉轉看,352
,1127,所有排列,29
,1153,Fill_Array函數,231
Level 7. 檔案處理,,,
,#,Problem Title,Subs
,1071,公司職員管理系統,2901
,1206,讀取指定檔名之文字檔案 (讀檔 輸出標準輸出),3400
,1207,讀取與寫入檔案 (檢查檔案輸出 無標準輸出),1170
,1208,讀取單一檔名文字檔 (big5),994
,1405,讀取txt-班上成績(讀檔),1340
,1076,神奇寶貝圖鑑 I - 結構,1848
,1073,讀寫陣列-浮點數版,1547
,3092,小明的電子賬簿,4945
,1075,部落的結合,6874
,1415,讀取csv-期末調分(讀檔),2888
,1424,讀取csv-期末調分(讀檔),948
,1077,神奇寶貝圖鑑 IV - 結構傳入函式(C多檔組合),1344
,1078,神奇寶貝圖鑑 II - 篩選出特定等級的神奇寶貝,2249
,1070,神奇寶貝圖鑑 IV-II - 結構傳入函式(C++多檔組合),109
,1212,讀取指定檔名之文字檔案 (讀utf-8檔 輸出標準輸出),237
,1074,通訊錄存讀檔 I (存讀文字檔),4367
,1079,神奇寶貝圖鑑 III - 找出等級最高的神奇寶貝,1675
,1187,通訊錄存讀檔 II (存讀二進位檔),200
,3312,奇怪的文字檔,243
,3094,讀*.csv檔VI (讀CSV檔),1413
,3035,讀取txt-尋找班上黑馬(Dark Horse)(相對路徑),1482
,1084,董事名單,1036
,1204,農場檔案 (讀檔),1745
,1409,阿宅的運動菜單 (讀檔),1074
,1504,Bond之秘密信息 (讀檔),1774
,1514,小當家的顧客滿意度 (讀檔),582
,1180,讀取文字檔中的數字 (讀檔標準輸出),33
,3276,個人身分認證系統,360
,3044,學分計算(讀CSV檔),2273
